id,name_cz,name_eng,keyword,type,Typ (hodnota),edition,Edice,Vytisknuto,Role Token,Vytisknuto Reminder Tokeny,Reminder Tokeny,ability_cz,ability_eng,setup,setup_reminder_eng,setup_reminder_cz,setlist_position,first_night_position,first_night_reminder_eng,first_night_reminder_cz,other_night_position,other_night_reminder_eng,other_night_reminder_cz,jinx,
60,Zaklínač Hadů,Snake Charmer,snakecharmer,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,"Každou noc si vyber živého hráče: pokud vybereš Démona, tak si s tebou vymění roli i stranu a poté je otráven.","Each night, choose an alive player: a chosen Demon swaps characters & alignments with you & is then poisoned.",FALSE,,,21,32,The Snake Charmer chooses a player. If they chose the Demon: Show the **YOU ARE** & Demon tokens. Give a thumbs down. Swap the Snake Charmer & Demon tokens. Put the old Snake Charmer to sleep. Wake the old Demon. Show the **YOU ARE** and Snake Charmer tokens & give a thumbs up. {reminder_token},"Zaklínač Hadů vybere hráče. Pokud vybral Démona: Ukaž **JSI** a Démona, **PŘÍSLUŠNÍK STRANY** a palec dolů (pokud byl na straně zlých). Prohoď žetony Zaklínače Hadů a Démona. Uspi starého Zaklínače Hadů. Probuď starého Démona. Ukaž **JSI** a Zaklínače Hadů, **PŘÍSLUŠNÍK STRANY** a palec nahoru  (pokud byl na straně hodných). {reminder_token}",17,The Snake Charmer chooses a player. If they chose the Demon: Show the **YOU ARE** & Demon tokens. Give a thumbs down. Swap the Snake Charmer & Demon tokens. Put the old Snake Charmer to sleep. Wake the old Demon. Show the **YOU ARE** and Snake Charmer tokens & give a thumbs up. {reminder_token},"Zaklínač Hadů vybere hráče. Pokud vybral Démona: Ukaž **JSI** a Démona, **PŘÍSLUŠNÍK STRANY** a palec dolů (pokud byl na straně zlých). Prohoď žetony Zaklínače Hadů a Démona. Uspi starého Zaklínače Hadů. Probuď starého Démona. Ukaž **JSI** a Zaklínače Hadů, **PŘÍSLUŠNÍK STRANY** a palec nahoru  (pokud byl na straně hodných). {reminder_token}",FALSE,
61,Matematik,Mathematician,mathematician,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,8,8,"Každou noc se dozvíš, kolik hráčů mělo od posledního úsvitu abnormálně fungující schopnost kvůli schopnosti jiné role.","Each night, you learn how many players’ abilities worked abnormally (since dawn) due to another character's ability.",FALSE,,,22,72,Give a finger signal.,Ukaž signál prsty.,90,Give a finger signal.,Ukaž signál prsty.,TRUE,
62,Květinářka,Flowergirl,flowergirl,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,"Každou noc* se dozvíš, jestli dnes Démon hlasoval.","Each night*, you learn if a Demon voted today.",FALSE,,,27,0,,,74,Either nod or shake your head.,"Buď kývni, nebo zavrť hlavou.",FALSE,
63,Hlasatel,Town Crier,towncrier,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,"Každou noc* se dozvíš, jestli dnes Přisluhovač nominoval.","Each night*, you learn if a Minion nominated today.",FALSE,,,28,0,,,75,Either nod or shake your head.,"Buď kývni, nebo zavrť hlavou.",FALSE,
64,Věštec,Oracle,oracle,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,0,0,"Každou noc* se dozvíš, kolik mrtvých hráčů je zlých.","Each night*, you learn how many dead players are evil.",FALSE,,,29,0,,,76,Give a finger signal.,Ukaž signál prsty.,FALSE,
65,Učenec,Savant,savant,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,0,0,"Každý den můžeš navštívit Vypravěče, abys se v soukromí dozvěděl 2 věci: 1 je pravdivá a 1 je nepravdivá.","Each day, you may visit the Storyteller to learn 2 things in private: 1 is true & 1 is false.",FALSE,,,38,0,,,0,,,FALSE,
66,Švadlena,Seamstress,seamstress,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,"Jednou za hru si v noci vyber 2 hráče (ne sebe): dozvíš se, jestli jsou příslušníky stejné strany.","Once per game, at night, choose 2 players (not yourself): you learn if they are the same alignment.",FALSE,,,43,57,The Seamstress might choose 2 players. Nod or shake your head. {reminder_token},Švadlena může vybrat 2 hráče. Kývni nebo zavrť hlavou. {reminder_token},77,The Seamstress might choose 2 players. Nod or shake your head. {reminder_token},Švadlena může vybrat 2 hráče. Kývni nebo zavrť hlavou. {reminder_token},FALSE,
67,Filozof,Philosopher,philosopher,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,2,2,"Jednou za hru si v noci vyber hodnou roli: získáš její schopnost. Pokud je tato role ve hře, je opilá.","Once per game, at night, choose a good character: gain that ability. If this character is in play, they are drunk.",FALSE,,,44,10,"The Philosopher might choose a character. If necessary, swap their character token. {reminder_token}","Filozof může vybrat roli. Pokud je to nutné, vyměň jeho žeton role. {reminder_token}",5,"The Philosopher might choose a character. If necessary, swap their character token. {reminder_token}","Filozof může vybrat roli. Pokud je to nutné, vyměň jeho žeton role. {reminder_token}",FALSE,
68,Umělec,Artist,artist,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,Jednou za hru se během dne můžeš Vypravěče soukromě zeptat na jakoukoli ano/ne otázku.,"Once per game, during the day, privately ask the Storyteller any yes/no question.",FALSE,,,47,0,,,0,,,FALSE,
69,Kejklíř,Juggler,juggler,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,5,5,"První den veřejně hádej role až 5 hráčů. Tu noc se dozvíš, kolik jsi jich uhodl správně.","On your 1st day, publicly guess up to 5 players' characters. That night, you learn how many you got correct.",FALSE,,,51,0,,,78,Give a finger signal.,Ukaž signál prsty.,FALSE,
70,Mudrc,Sage,sage,townsfolk,Měšťan,3,III Sekty a Fialky (Sects & Violets),1,1,0,0,"Pokud tě Démon zabije, dozvíš se, že je to 1 ze 2 hráčů.","If the Demon kills you, you learn that it is 1 of 2 players.",FALSE,,,59,0,,,57,"If the Demon killed the Sage, wake the Sage and point to 2 players, 1 of which is the Demon.","Pokud Démon zabil Mudrce, probuď Mudrce a ukaž na 2 hráče, z nichž 1 je Démon.",FALSE,
71,Holič,Barber,barber,outsider,Outsider,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,"​Pokud jsi dnes nebo tuto noc zemřel, může Démon vybrat 2 hráče (ne jiného Démona) k výměně rolí.","If you died today or tonight, the Demon may choose 2 players (not another Demon) to swap characters.",FALSE,,,15,0,,,54,"If the Barber died today or tonight, show the Demon the **THIS CHARACTER SELECTED YOU** & Barber tokens. If the Demon chose 2 players, wake one at a time. Show the **YOU ARE** token & their new character token.","Pokud Holič zemřel dnes nebo dnes v noci, ukaž Démonovi **TATO ROLE SI TĚ VYBRALA** a Holiče. Pokud Démon vybral 2 hráče, probuď je jednoho po druhém. Ukaž **JSI** a žeton jejich nové role.",FALSE,
72,Nešika,Klutz,klutz,outsider,Outsider,3,III Sekty a Fialky (Sects & Violets),1,1,0,0,"Když se dozvíš, že jsi zemřel, veřejně si vyber 1 živého hráče: pokud je zlý, tvůj tým prohrává.","When you learn that you died, publicly choose 1 alive player: if they are evil, your team loses.",FALSE,,,12,0,,,0,,,FALSE,
73,Mutant,Mutant,mutant,outsider,Outsider,3,III Sekty a Fialky (Sects & Violets),1,1,0,0,"Pokud jsi ""posedlý"" tím, že jsi outsider, můžeš být popraven.","If you are “mad” about being an Outsider, you might be executed.",FALSE,,,17,0,,,0,,,FALSE,
74,Zlatíčko,Sweetheart,sweetheart,outsider,Outsider,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,"Když zemřeš, 1 hráč je od nynějška opilý.","When you die, 1 player is drunk from now on.",FALSE,,,10,0,,,55,"If the Sweetheart died, a player became drunk immediately. If you haven't done this yet, do so now. {reminder_token}","Pokud zemřelo Zlatíčko, hráč se okamžitě stal opilým. Pokud jsi to ještě neudělal, udělej to teď. {reminder_token}",FALSE,
75,Cerenovus,Cerenovus,cerenovus,minion,Přisluhovač,3,III Sekty a Fialky (Sects & Violets),1,1,2,2,"Každou noc si vyber hráče a hodnou roli: zítra bude posedlý, že je touto rolí, nebo může být popraven.","Each night, choose a player & a good character: they are “mad” they are this character tomorrow, or might be executed.",FALSE,,,8,38,"The Cerenovus chooses a player & a character. {reminder_token} Put the Cerenovus to sleep. Wake the target. Show the **THIS CHARACTER SELECTED YOU** token, the Cerenovus token, then the madness-character token.","Cerenovus vybere hráče a roli. {reminder_token} Uspi Cerenovuse. Probuď cíl. Ukaž **TATO ROLE SI TĚ VYBRALA**, žeton Cerenovuse, poté žeton role posedlosti.",22,"The Cerenovus chooses a player & a character. {reminder_token} Put the Cerenovus to sleep. Wake the target. Show the **THIS CHARACTER SELECTED YOU** token, the Cerenovus token, then the madness-character token.","Cerenovus vybere hráče a roli. {reminder_token} Uspi Cerenovuse. Probuď cíl. Ukaž **TATO ROLE SI TĚ VYBRALA**, žeton Cerenovuse, poté žeton role posedlosti.",TRUE,
76,Zlé Dvojče,Evil Twin,eviltwin,minion,Přisluhovač,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,"Ty a hráč opačné strany se navzájem znáte. Pokud je hodný hráč popraven, zlo vyhrává. Hodní nemohou vyhrát, pokud oba žijete.","You & an opposing player know each other. If the good player is executed, evil wins. Good can't win if you both live.",FALSE,,,19,36,Wake both twins. Allow eye contact. Show the good twin's character token to the Evil Twin & vice versa.,Probuď obě dvojčata. Umožni oční kontakt. Ukaž žeton role hodného dvojčete Zlému Dvojčeti a naopak.,0,,,FALSE,
77,Ježibaba,Pit-Hag,pithag,minion,Přisluhovač,3,III Sekty a Fialky (Sects & Violets),1,1,0,0,"Každou noc* si vyber hráče a roli, kterou se stane (pokud není ve hře). Pokud je vytvořen Démon, úmrtí tuto noc jsou náhodná/libovolná.","Each night*, choose a player & a character they become (if not in play). If a Demon is made, deaths tonight are arbitrary.",FALSE,,,10,0,,,23,The Pit-Hag chooses a player & a character. If they chose a character that is not in play: Put the Pit-Hag to sleep. Wake the target. Show the **YOU ARE** token & their new character token.,"Ježibaba vybere hráče a roli. Pokud vybrala roli, která není ve hře: Uspi Ježibabu. Probuď cíl. Ukaž **JSI** a žeton jeho nové role.",TRUE,
78,Čarodějnice,Witch,witch,minion,Přisluhovač,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,"Každou noc si vyber hráče: pokud zítra nominuje, zemře. Pokud žijí pouze 3 hráči, ztrácíš tuto schopnost.","Each night, choose a player: if they nominate tomorrow, they die. If just 3 players live, you lose this ability.",FALSE,,,7,37,The Witch chooses a player. {reminder_token},Čarodějnice vybere hráče. {reminder_token},21,The Witch chooses a player. {reminder_token},Čarodějnice vybere hráče. {reminder_token},FALSE,
79,Fang Gu,Fang Gu,fanggu,demon,Démon,3,III Sekty a Fialky (Sects & Violets),2,2,2,2,"Každou noc* si vyber hráče: ten zemře. První Outsider, kterého takto zabiješ, se stane zlým Fang Gu a zemřeš místo něj. [+1 Outsider]","Each night*, choose a player: they die. The 1st Outsider this kills becomes an evil Fang Gu & you die instead.",TRUE,[+1 Outsider],[+1 Outsider],14,0,,,39,The Fang Gu chooses a player. {reminder_token} If they chose an Outsider (once only): Replace the Outsider token with the spare Fang Gu token. Put the Fang Gu to sleep. Wake the target. Show the **YOU ARE** and Fang Gu tokens & give a thumbs-down. {reminder_token},"Fang Gu vybere hráče. {reminder_token} Pokud vybral Outsidera (jen jednou): Nahraď žeton Outsidera náhradním žetonem Fang Gu. Uspi Fang Gu. Probuď cíl. Ukaž **JSI** a Fang Gu, pak **PŘÍSLUŠNÍK STRANY** a ukaž palec dolů. {reminder_token}",FALSE,
80,No Dashii,No Dashii,nodashii,demon,Démon,3,III Sekty a Fialky (Sects & Violets),1,1,3,3,Každou noc* si vyber hráče: ten zemře. Tvoji 2 sousedé Měšťané jsou otráveni.,"Each night*, choose a player: they die. Your 2 Townsfolk neighbors are poisoned.",FALSE,,,4,0,,,40,The No Dashii chooses a player. {reminder_token},No Dashii vybere hráče. {reminder_token},FALSE,
81,Vigormortis,Vigormortis,vigormortis,demon,Démon,3,III Sekty a Fialky (Sects & Violets),1,1,7,7,"Každou noc* si vyber hráče: ten zemře. Přisluhovači, které zabiješ, si ponechají svou schopnost a otráví 1 souseda Měšťana. [-1 Outsider]","Each night*, choose a player: they die. Minions you kill keep their ability & poison 1 Townsfolk neighbor.",TRUE,[-1 Outsider],[-1 Outsider],11,0,,,43,"The Vigormortis chooses a player. {reminder_token} If that player is a Minion, poison a neighboring Townsfolk. {reminder_token} {reminder_token}","Vigormortis vybere hráče. {reminder_token} Pokud je tento hráč Přisluhovač, otrav sousedního Měšťana. {reminder_token} {reminder_token}",FALSE,
82,Vortox,Vortox,vortox,demon,Démon,3,III Sekty a Fialky (Sects & Violets),1,1,1,1,"Každou noc* si vyber hráče: ten zemře. Schopnosti Měšťanů poskytují falešné informace. Každý den, pokud nikdo není popraven, zlo vyhrává.","Each night*, choose a player: they die. Townsfolk abilities yield false info. Each day, if no-one is executed, evil wins.",FALSE,,,12,0,,,41,The Vortox chooses a player. {reminder_token},Vortox vybere hráče. {reminder_token},TRUE,
83,Barista,Barista,barista,traveller,Cestovatel,3,III Sekty a Fialky (Sects & Violets),2,2,2,2,"Každou noc, až do soumraku, buď 1) se hráč stane střízlivým, zdravým a dostane pravdivé informace, nebo 2) jeho schopnost funguje dvakrát. Dozví se, co z toho.","Each night, until dusk, 1) a player becomes sober, healthy & gets true info, or 2) their ability works twice. They learn which.",FALSE,,,3,0,,,0,,,FALSE,
84,Deviant,Deviant,deviant,traveller,Cestovatel,3,III Sekty a Fialky (Sects & Violets),2,2,0,0,"Pokud jsi byl dnes vtipný/zábavný, nemůžeš zemřít vyhnáním.","If you were funny today, you cannot die by exile.",FALSE,,,14,0,,,0,,,FALSE,
85,Nevěstka,Harlot,harlot,traveller,Cestovatel,3,III Sekty a Fialky (Sects & Violets),2,2,2,2,"Každou noc* si vyber živého hráče: pokud souhlasí, dozvíš se jeho roli, ale oba můžete zemřít.","Each night*, choose a living player: if they agree, you learn their character, but you both might die.",FALSE,,,4,0,,,0,,,FALSE,
86,Řezník,Butcher,butcher,traveller,Cestovatel,3,III Sekty a Fialky (Sects & Violets),2,2,0,0,"Každý den, po první popravě, můžeš znovu nominovat.","Each day, after the 1st execution, you may nominate again.",FALSE,,,5,0,,,0,,,FALSE,
87,Sběratel Kostí,Bone Collector,bonecollector,traveller,Cestovatel,3,III Sekty a Fialky (Sects & Violets),2,2,2,2,Jednou za hru si v noci* vyber mrtvého hráče: ten získá zpět svou schopnost až do soumraku.,"Once per game, at night*, choose a dead player: they regain their ability until dusk.",FALSE,,,10,0,,,0,,,FALSE,
88,Akrobat,Acrobat,acrobat,townsfolk,Měšťan,4,IV Experimental,0,1,0,2,,"Each night*, choose a player: if they are or become drunk or poisoned tonight, you die.",FALSE,,,34,0,,,16,The Acrobat chooses a player. {reminder_token},,FALSE,
89,Alchymista,Alchemist,alchemist,townsfolk,Měšťan,5,V Experimental,0,1,0,1,,"You have a Minion ability. When using this, the Storyteller may prompt you to choose differently.",FALSE,,,53,11,Show the **YOU ARE** info token and a Minion token.,,0,,,TRUE,
90,Al-Hadikhia,Al-Hadikhia,alhadikhia,demon,Démon,5,V Experimental,0,1,0,6,,"Each night*, you may choose 3 players (all players learn who): each silently chooses to live or die, but if all live, all die.",FALSE,,,17,0,,,45,"The Al-Hadikhia chooses 3 players. {reminder_token} {reminder_token} {reminder_token} In order, wake each target. They nod or shake their head. Put them to sleep before waking the next target.",,TRUE,
91,Alsaahir,Alsaahir,alsaahir,townsfolk,Měšťan,5,V Experimental,0,1,0,0,,"Each day, if you publicly guess which players are Minion(s) and which are Demon(s), good wins.",FALSE,,,39,0,,,0,,,FALSE,
92,Amnéziak,Amnesiac,amnesiac,townsfolk,Měšťan,8,VIII Experimental,0,1,0,0,,"You do not know what your ability is. Each day, privately guess what it is: you learn how accurate you are.",FALSE,,,55,46,Do whatever needs to be done to satisfy the Amnesiac's ability.,,63,Do whatever needs to be done to satisfy the Amnesiac's ability.,,FALSE,
93,Ateista,Atheist,atheist,townsfolk,Měšťan,6,VI Experimental,0,1,0,0,,"The Storyteller can break the game rules, and if executed, good wins, even if you are dead.",TRUE,[No evil characters],,69,0,,,0,,,FALSE,
94,Balonista,Balloonist,balloonist,townsfolk,Měšťan,9,IX Experimental,0,1,0,4,,"Each night, you learn a player of a different character type than last night.",TRUE,[+0 or +1 Outsider],,16,61,Point to any player. {reminder_token},,79,Point to a player with a different character type to the previously shown player. {reminder_token},,FALSE,
95,Benší,Banshee,banshee,townsfolk,Měšťan,5,V Experimental,0,1,0,1,,"If the Demon kills you, all players learn this. From now on, you may nominate twice per day and vote twice per nomination.",FALSE,,,61,0,,,58,"If the Banshee was killed by the Demon tonight, announce that the Banshee has died. {reminder_token}",,FALSE,
96,Vědátor,Boffin,boffin,minion,Přisluhovač,9,IX Experimental,0,1,0,2,,The Demon (even if drunk or poisoned) has a not-in-play good character’s ability. You both know which.,FALSE,,,26,9,"Wake the Boffin and the Demon. Show the **THIS CHARACTER SELECTED YOU** & Boffin tokens, then the not-in-play good character token.",,0,,,TRUE,
97,Bombič,Boomdandy,boomdandy,minion,Přisluhovač,4,IV Experimental,0,1,0,0,,"If you are executed, all but 3 players die. After a 10 to 1 countdown, the player with the most players pointing at them, dies.",FALSE,,,21,0,,,0,,,FALSE,
98,Lovec Odměn,Bounty Hunter,bountyhunter,townsfolk,Měšťan,5,V Experimental,0,1,0,1,,"You start knowing 1 evil player. If the player you know dies, you learn another evil player tonight.",TRUE,[1 Townsfolk is evil],,12,64,Point to the player marked **KNOW**.,,82,"If the player marked **KNOW** died today or tonight, point to the new player marked **KNOW**.",,TRUE,
99,Chechtal,Cacklejack,cacklejack,traveller,Cestovatel,5,V Experimental,0,2,0,1,,"Each day, choose a player: a different player changes character tonight.",FALSE,,,6,0,,,0,,,FALSE,
100,Kanibal,Cannibal,cannibal,townsfolk,Měšťan,8,VIII Experimental,0,1,0,2,,"You have the ability of the recently killed executee. If they are evil, you are poisoned until a good player dies by execution.",FALSE,,,54,0,,,0,,,TRUE,
101,Zpěváček,Choirboy,choirboy,townsfolk,Měšťan,5,V Experimental,0,1,0,0,,"If the Demon kills the King, you learn which player is the Demon.",TRUE,[+the King],,60,0,,,60,"If the Demon killed the King, point to the Demon player.",,FALSE,
102,Vrchní Kultista,Cult Leader,cultleader,townsfolk,Měšťan,8,VIII Experimental,0,1,0,0,,"Each night, you become the alignment of an alive neighbor. If all good players choose to join your cult, your team wins.",FALSE,,,26,66,"The Cult Leader might change alignment. If so, show the **YOU ARE** info token & give a thumb signal.",,84,"The Cult Leader might change alignment. If so, show the **YOU ARE** info token & give a thumb signal.",,FALSE,
103,Děvče,Damsel,damsel,outsider,Outsider,8,VIII Experimental,0,1,0,1,,"All Minions know a Damsel is in play. If a Minion publicly guesses you (once), your team loses.",FALSE,,,20,45,"During Minion Info, show the Minions the Damsel token. If you haven't done this yet, do so now. If the Damsel was chosen by the Huntsman, show the **YOU ARE** info token & their new character token.",,62,"If the Damsel was chosen by the Huntsman, show the **YOU ARE** info token & their new character token.",,FALSE,
104,Inženýr,Engineer,engineer,townsfolk,Měšťan,6,VI Experimental,0,1,0,1,,"Once per game, at night, choose which Minions or which Demon is in play.",FALSE,,,40,23,The Engineer might choose Minions or Demons. Put the Engineer to sleep. Wake the target(s) one at a time. Show the **YOU ARE** info token & their new character token. {reminder_token},,8,The Engineer might choose Minions or Demons. Put the Engineer to sleep. Wake the target(s) one at a time. Show the **YOU ARE** info token & their new character token. {reminder_token},,FALSE,
105,Farmář,Farmer,farmer,townsfolk,Měšťan,8,VIII Experimental,0,3,0,0,,"When you die at night, an alive good player becomes a Farmer.",FALSE,,,56,0,,,64,"If the Farmer died tonight, wake a living good player. Show the **YOU ARE** info token and a Farmer token.",,FALSE,
106,Strašák,Fearmonger,fearmonger,minion,Přisluhovač,6,VI Experimental,0,1,0,2,,"Each night, choose a player: if you nominate & execute them, their team loses. All players know if you choose a new player.",FALSE,,,9,39,The Fearmonger chooses a player. {reminder_token} Announce that the Fearmonger has chosen a player.,,24,"The Fearmonger chooses a player. {reminder_token} If the target is different to last night, announce that the Fearmonger has chosen a player.",,FALSE,
107,Rybář,Fisherman,fisherman,townsfolk,Měšťan,6,VI Experimental,0,1,0,1,,"Once per game, during the day, visit the Storyteller for some advice to help your team win.",FALSE,,,49,0,,,0,,,FALSE,
108,Gangster,Gangster,gangster,traveller,Cestovatel,4,IV Experimental,0,2,0,0,,"Once per day, you may choose to kill an alive neighbor, if your other alive neighbor agrees.",FALSE,,,9,0,,,0,,,FALSE,
109,Generál,General,general,townsfolk,Měšťan,7,VII Experimental,0,1,0,0,,"Each night, you learn which alignment the Storyteller believes is winning: good, evil, or neither.",FALSE,,,17,70,Give a thumb signal.,,88,Give a thumb signal.,,FALSE,
110,Gnóm,Gnome,gnome,traveller,Cestovatel,6,VI Experimental,0,2,0,1,,All players start knowing a player of your alignment. You may choose to kill anyone who nominates them.,FALSE,,,16,0,,,0,,,FALSE,
111,Goblin,Goblin,goblin,minion,Přisluhovač,5,V Experimental,0,1,0,1,,"If you publicly claim to be the Goblin when nominated & are executed that day, your team wins.",FALSE,,,20,0,,,0,,,FALSE,
112,Golem,Golem,golem,outsider,Outsider,4,IV Experimental,0,1,0,1,,"You may only nominate once per game. When you do, if the nominee is not the Demon, they die.",FALSE,,,9,0,,,0,,,FALSE,
113,Harpyje,Harpy,harpy,minion,Přisluhovač,4,IV Experimental,0,1,0,2,,"Each night, choose 2 players: tomorrow, the 1st player is mad that the 2nd is evil, or one or both might die.",FALSE,,,6,40,"The Harpy chooses 2 players. {reminder_token} {reminder_token} Put the Harpy to sleep. Wake the 1st target. Show the **THIS CHARACTER SELECTED YOU** token, the Harpy token, then point to the 2nd target.",,25,"The Harpy chooses 2 players. {reminder_token} {reminder_token} Put the Harpy to sleep. Wake the 1st target. Show the **THIS CHARACTER SELECTED YOU** token, the Harpy token, then point to the 2nd target.",,FALSE,
114,Kloboučník,Hatter,hatter,outsider,Outsider,5,V Experimental,0,1,0,1,,"If you died today or tonight, the Minion & Demon players may choose new Minion & Demon characters to be.",FALSE,,,16,0,,,53,"If the Hatter died, wake the Minions & Demons. Each may choose a new character. If they do, show the **YOU ARE** token & their new character token.",,FALSE,
115,Kacíř,Heretic,heretic,outsider,Outsider,5,V Experimental,0,1,0,0,,"Whoever wins, loses & whoever loses, wins, even if you are dead.",FALSE,,,22,0,,,0,,,TRUE,
116,Poustevník,Hermit,hermit,outsider,Outsider,4,IV Experimental,0,1,0,0,,You have all Outsider abilities.,TRUE,[-0 or -1 Outsider],,1,0,,,0,,,FALSE,
117,Velekněžka,High Priestess,highpriestess,townsfolk,Měšťan,9,IX Experimental,0,1,0,0,,"Each night, learn which player the Storyteller believes you should talk to most.",FALSE,,,14,69,Point to a player.,,87,Point to a player.,,FALSE,
118,Lovec,Huntsman,huntsman,townsfolk,Měšťan,8,VIII Experimental,0,1,0,1,,"Once per game, at night, choose a living player: the Damsel, if chosen, becomes a not-in-play Townsfolk.",TRUE,[+the Damsel],,45,44,The Huntsman might choose a player. {reminder_token} If they chose the Damsel: Put the Huntsman to sleep. Wake the target. Show the **YOU ARE** info token & their new character token.,,61,The Huntsman might choose a player. {reminder_token} If they chose the Damsel: Put the Huntsman to sleep. Wake the target. Show the **YOU ARE** info token & their new character token.,,FALSE,
119,Kazali,Kazali,kazali,demon,Démon,4,IV Experimental,0,1,0,1,,"Each night*, choose a player: they die.",TRUE,[You choose which players are which Minions. -? to +? Outsiders],,8,8,The Kazali chooses which players are which Minions. Wake each target. Show the **YOU ARE** and Minion tokens & give a thumbs-down.,,49,The Kazali chooses a player. {reminder_token},,FALSE,
120,Král,King,king,townsfolk,Měšťan,9,IX Experimental,0,1,0,0,,"Each night, if the dead equal or outnumber the living, you learn 1 alive character. The Demon knows you are the King.",FALSE,,,23,20,"Wake the Demon: Show the **THIS PLAYER IS** & King tokens, then point to the King.",,81,"If the dead equal or outnumber the living, show the character token of a living player.",,FALSE,
121,Rytíř,Knight,knight,townsfolk,Měšťan,10,X Experimental,0,1,0,2,,You start knowing 2 players that are not the Demon.,FALSE,,,2,59,Point to the 2 players marked **KNOW**.,,0,,,FALSE,
122,Legie,Legion,legion,demon,Démon,7,VII Experimental,0,11,0,1,,"Each night*, a player might die. Executions fail if only evil voted. You register as a Minion too.",TRUE,[Most players are Legion],,13,0,,,33,A player might die. {reminder_token},,TRUE,
123,Leviathan,Leviathan,leviathan,demon,Démon,6,VI Experimental,0,1,0,1,,"If more than 1 good player is executed, evil wins. All players know you are in play. After day 5, evil wins.",FALSE,,,19,74,Announce that the Leviathan is in play. {reminder_token},,93,Change the Leviathan reminder token to the relevant day. {reminder_token} You may announce that the Leviathan is in play.,,TRUE,
124,Příšerka,Lil' Monsta,lilmonsta,demon,Démon,8,VIII Experimental,0,1,0,2,,"Each night, Minions choose who babysits Lil' Monsta & ""is the Demon"". Each night*, a player might die.",TRUE,[+1 Minion],,3,25,Wake the Minions. They choose a player. {reminder_token} Put the Minions to sleep. Wake the target. Show the **YOU ARE** & Lil' Monsta tokens.,,47,Wake the Minions. They choose a player. {reminder_token} Put the Minions to sleep. Wake the target. Show the **YOU ARE** & Lil' Monsta tokens. A player might die. {reminder_token},,TRUE,
125,Pijavice,Lleech,lleech,demon,Démon,4,IV Experimental,0,1,0,2,,"Each night*, choose a player: they die. You start by choosing a player: they are poisoned. You die if & only if they are dead.",FALSE,,,16,26,The Lleech chooses a player. {reminder_token},,46,The Lleech chooses a player. {reminder_token},,TRUE,
126,Syn Týfóna,Lord of Typhon,lordoftyphon,demon,Démon,8,VIII Experimental,0,1,0,1,,"Each night*, choose a player: they die.",TRUE,[Evil characters are in a line. You are in the middle. +1 Minion. -? to +? Outsiders],,15,7,Wake the Lord of Typhon's neighbors. Show the **YOU ARE** and Minion tokens & give a thumbs-down.,,42,The Lord of Typhon chooses a player. {reminder_token},,FALSE,
127,Vlkodlak,Lycanthrope,lycanthrope,townsfolk,Měšťan,9,IX Experimental,0,1,0,2,,"Each night*, choose an alive player. If good, they die & the Demon doesn’t kill tonight. One good player registers as evil.",FALSE,,,36,0,,,31,The Lycanthrope chooses a player. {reminder_token},,FALSE,
128,Kouzelník,Magician,magician,townsfolk,Měšťan,10,X Experimental,0,1,0,0,,The Demon thinks you are a Minion. Minions think you are a Demon.,FALSE,,,66,14,"During Minion Info, point to the Magician and the Demon. During Demon Info, point to the Magician and the Minions.",,0,,,TRUE,
129,Loutka,Marionette,marionette,minion,Přisluhovač,4,IV Experimental,1,1,1,1,"Myslíš si, že jsi Hodná role, ale nejsi. Démon ví, kdo jsi.","You think you are a good character, but you are not. The Demon knows who you are.",TRUE,[You neighbor the Demon],[Sousedíš s Démonem],16,22,Wake the Demon. Show the **THIS PLAYER IS** & Marionette tokens. Point to the Marionette.,"Probuď Démona. Ukaž **TENTO HRÁČ JE** a Loutky. Ukaž tam, kde sedí Loutka.",0,,,TRUE,
130,Mezefeles,Mezepheles,mezepheles,minion,Přisluhovač,8,VIII Experimental,0,1,0,2,,You start knowing a secret word. The 1st good player to say this word becomes evil that night.,FALSE,,,1,41,Show the secret word.,,26,"If a good player said the secret word, wake the player. Show the **YOU ARE** info token & give a thumbs-down. {reminder_token} {reminder_token}",,FALSE,
